market,group,model,alpha,n,breaches,breach_rate,expected,mean_VaR,kupiec_p,christ_ind_p,cc_p,es_p,verdict
SP500,developed,fhs_garch,0.01,4529,58,0.0128,0.01,-0.02861,0.0689,0.0444,0.0253,0.1526,coverage OK  | independence BAD | conditional BAD
SP500,developed,gaussian,0.01,4529,118,0.0261,0.01,-0.0271,0.0,0.0,0.0,0.0,coverage BAD | independence BAD | conditional BAD
SP500,developed,historical,0.01,4529,68,0.015,0.01,-0.03341,0.0016,0.0,0.0,0.0359,coverage BAD | independence BAD | conditional BAD
SP500,developed,hmm_regime,0.01,4529,58,0.0128,0.01,-0.03259,0.0689,0.0001,0.0001,0.8321,coverage OK  | independence BAD | conditional BAD
SP500,developed,student_t,0.01,4529,91,0.0201,0.01,-0.03144,0.0,0.0,0.0,0.9327,coverage BAD | independence BAD | conditional BAD
SP500,developed,fhs_garch,0.05,4529,237,0.0523,0.05,-0.01827,0.4752,0.6389,0.6941,0.726,coverage OK  | independence OK  | conditional OK 
SP500,developed,gaussian,0.05,4529,239,0.0528,0.05,-0.01904,0.3963,0.0,0.0,0.0,coverage OK  | independence BAD | conditional BAD
SP500,developed,historical,0.05,4529,237,0.0523,0.05,-0.01877,0.4752,0.0,0.0,0.0132,coverage OK  | independence BAD | conditional BAD
SP500,developed,hmm_regime,0.05,4529,199,0.0439,0.05,-0.0207,0.0562,0.0002,0.0002,0.1755,coverage OK  | independence BAD | conditional BAD
SP500,developed,student_t,0.05,4529,303,0.0669,0.05,-0.01609,0.0,0.0,0.0,0.023,coverage BAD | independence BAD | conditional BAD
DAX,developed,fhs_garch,0.01,4571,73,0.016,0.01,-0.0311,0.0002,0.4752,0.0007,0.5174,coverage BAD | independence OK  | conditional BAD
DAX,developed,gaussian,0.01,4571,114,0.0249,0.01,-0.02988,0.0,0.0,0.0,0.0,coverage BAD | independence BAD | conditional BAD
DAX,developed,historical,0.01,4571,68,0.0149,0.01,-0.03603,0.002,0.0,0.0,0.2984,coverage BAD | independence BAD | conditional BAD
DAX,developed,hmm_regime,0.01,4571,62,0.0136,0.01,-0.03594,0.0216,0.0015,0.0005,0.2253,coverage BAD | independence BAD | conditional BAD
DAX,developed,student_t,0.01,4571,77,0.0168,0.01,-0.03489,0.0,0.0,0.0,0.7475,coverage BAD | independence BAD | conditional BAD
DAX,developed,fhs_garch,0.05,4571,258,0.0564,0.05,-0.02057,0.05,0.3557,0.0956,0.166,coverage BAD | independence OK  | conditional OK 
DAX,developed,gaussian,0.05,4571,261,0.0571,0.05,-0.02103,0.0311,0.0,0.0,0.0,coverage BAD | independence BAD | conditional BAD
DAX,developed,historical,0.05,4571,257,0.0562,0.05,-0.02081,0.0581,0.0,0.0,0.0644,coverage OK  | independence BAD | conditional BAD
DAX,developed,hmm_regime,0.05,4571,201,0.044,0.05,-0.02334,0.0565,0.0,0.0,0.0256,coverage OK  | independence BAD | conditional BAD
DAX,developed,student_t,0.05,4571,301,0.0658,0.05,-0.019,0.0,0.0,0.0,0.2397,coverage BAD | independence BAD | conditional BAD
FTSE100,developed,fhs_garch,0.01,4549,58,0.0128,0.01,-0.02625,0.0738,0.0438,0.0265,0.4611,coverage OK  | independence BAD | conditional BAD
FTSE100,developed,gaussian,0.01,4549,95,0.0209,0.01,-0.02484,0.0,0.0,0.0,0.0,coverage BAD | independence BAD | conditional BAD
