market,group,alpha,model_a,model_b,loss_a,loss_b,dm_stat,p,winner
SP500,developed,0.05,gaussian,historical,0.001567,0.001551,3.275,0.0011,historical
SP500,developed,0.05,gaussian,student_t,0.001567,0.001603,-2.353,0.0187,gaussian
SP500,developed,0.05,gaussian,fhs_garch,0.001567,0.001272,6.702,0.0,fhs_garch
SP500,developed,0.05,gaussian,hmm_regime,0.001567,0.001453,3.265,0.0011,hmm_regime
SP500,developed,0.05,historical,student_t,0.001551,0.001603,-3.854,0.0001,historical
SP500,developed,0.05,historical,fhs_garch,0.001551,0.001272,6.312,0.0,fhs_garch
SP500,developed,0.05,historical,hmm_regime,0.001551,0.001453,2.784,0.0054,hmm_regime
SP500,developed,0.05,student_t,fhs_garch,0.001603,0.001272,6.459,0.0,fhs_garch
SP500,developed,0.05,student_t,hmm_regime,0.001603,0.001453,3.577,0.0004,hmm_regime
SP500,developed,0.05,fhs_garch,hmm_regime,0.001272,0.001453,-7.5,0.0,fhs_garch
SP500,developed,0.01,gaussian,historical,0.000604,0.000548,4.273,0.0,historical
SP500,developed,0.01,gaussian,student_t,0.000604,0.000578,2.81,0.005,student_t
SP500,developed,0.01,gaussian,fhs_garch,0.000604,0.000381,5.452,0.0,fhs_garch
SP500,developed,0.01,gaussian,hmm_regime,0.000604,0.00045,4.397,0.0,hmm_regime
SP500,developed,0.01,historical,student_t,0.000548,0.000578,-2.859,0.0043,historical
SP500,developed,0.01,historical,fhs_garch,0.000548,0.000381,4.941,0.0,fhs_garch
SP500,developed,0.01,historical,hmm_regime,0.000548,0.00045,3.466,0.0005,hmm_regime
SP500,developed,0.01,student_t,fhs_garch,0.000578,0.000381,5.306,0.0,fhs_garch
SP500,developed,0.01,student_t,hmm_regime,0.000578,0.00045,4.017,0.0001,hmm_regime
SP500,developed,0.01,fhs_garch,hmm_regime,0.000381,0.00045,-3.967,0.0001,fhs_garch
DAX,developed,0.05,gaussian,historical,0.001636,0.001647,-1.76,0.0785,tie
DAX,developed,0.05,gaussian,student_t,0.001636,0.001642,-0.683,0.4947,tie
DAX,developed,0.05,gaussian,fhs_garch,0.001636,0.001445,5.865,0.0,fhs_garch
DAX,developed,0.05,gaussian,hmm_regime,0.001636,0.001589,1.682,0.0926,tie
DAX,developed,0.05,historical,student_t,0.001647,0.001642,0.861,0.3893,tie
DAX,developed,0.05,historical,fhs_garch,0.001647,0.001445,5.847,0.0,fhs_garch
DAX,developed,0.05,historical,hmm_regime,0.001647,0.001589,1.961,0.0499,hmm_regime
DAX,developed,0.05,student_t,fhs_garch,0.001642,0.001445,5.42,0.0,fhs_garch
DAX,developed,0.05,student_t,hmm_regime,0.001642,0.001589,1.688,0.0915,tie
DAX,developed,0.05,fhs_garch,hmm_regime,0.001445,0.001589,-6.155,0.0,fhs_garch
DAX,developed,0.01,gaussian,historical,0.000566,0.00053,3.013,0.0026,historical
DAX,developed,0.01,gaussian,student_t,0.000566,0.000542,2.984,0.0029,student_t
DAX,developed,0.01,gaussian,fhs_garch,0.000566,0.000415,5.121,0.0,fhs_garch
DAX,developed,0.01,gaussian,hmm_regime,0.000566,0.00051,2.175,0.0297,hmm_regime
DAX,developed,0.01,historical,student_t,0.00053,0.000542,-1.937,0.0528,tie
DAX,developed,0.01,historical,fhs_garch,0.00053,0.000415,5.03,0.0,fhs_garch
DAX,developed,0.01,historical,hmm_regime,0.00053,0.00051,0.961,0.3366,tie
DAX,developed,0.01,student_t,fhs_garch,0.000542,0.000415,4.97,0.0,fhs_garch
DAX,developed,0.01,student_t,hmm_regime,0.000542,0.00051,1.395,0.163,tie
DAX,developed,0.01,fhs_garch,hmm_regime,0.000415,0.00051,-4.965,0.0,fhs_garch
FTSE100,developed,0.05,gaussian,historical,0.001335,0.001346,-2.105,0.0353,gaussian
FTSE100,developed,0.05,gaussian,student_t,0.001335,0.001334,0.11,0.912,tie
FTSE100,developed,0.05,gaussian,fhs_garch,0.001335,0.001173,5.504,0.0,fhs_garch
FTSE100,developed,0.05,gaussian,hmm_regime,0.001335,0.001307,1.141,0.254,tie
FTSE100,developed,0.05,historical,student_t,0.001346,0.001334,2.739,0.0062,student_t
