group,alpha,model,cc_pass_rate
developed,0.01,fhs_garch,0.0
developed,0.01,gaussian,0.0
developed,0.01,historical,0.0
developed,0.01,hmm_regime,0.0
developed,0.01,student_t,0.0
emerging,0.01,fhs_garch,1.0
emerging,0.01,hmm_regime,0.5
emerging,0.01,student_t,0.25
emerging,0.01,gaussian,0.0
emerging,0.01,historical,0.0
developed,0.05,fhs_garch,1.0
developed,0.05,gaussian,0.0
developed,0.05,historical,0.0
developed,0.05,hmm_regime,0.0
developed,0.05,student_t,0.0
emerging,0.05,fhs_garch,1.0
emerging,0.05,gaussian,0.25
emerging,0.05,historical,0.25
emerging,0.05,student_t,0.25
emerging,0.05,hmm_regime,0.0
